hotel_nombre,consumo_energia_kwh,residuos_generados_kg,porcentaje_reciclaje,uso_agua_m3,fecha
Alletra Diamond Grand Hotel,3077,1821,73.5,4977,2019-01-01
ProLiant Towers,2253,1319,71.5,3145,2019-01-01
Aruba Luxury Lodge,3824,1672,89.7,4179,2019-01-01
InfoSight Boutique Hotel,1701,1070,82.7,4911,2019-01-01
Primera Grand,2970,1547,94.6,3907,2019-01-01
dHCI Executive Boutique Hotel,2919,1363,90.7,3051,2019-01-01
ProLiant Haven,2357,1812,81.9,3182,2019-01-01
Apollo Executive Beach Resort,2832,1936,56.7,3813,2019-01-01
Aruba Lodge,3826,1630,80.9,3080,2019-01-01d
Alletra Haven,2717,1789,90.8,3554,2019-01-01
dHCI Platinum Beach Resort,3504,1145,61.2,3338,2019-01-01
GreenLake Platinum Heritage Inn,3968,1761,73.1,3919,2019-01-01
Pointnext Signature Residences & Suites,1950,1404,64.2,4600,2019-01-01
ProLiant Place,2401,1532,72.6,3727,2019-01-01
Synergy Golden Grand Hotel,2089,1168,70.9,4111,2019-01-01
Alletra Resort,3272,1680,61.4,3202,2019-01-01
GreenLake Digital Business Suites,2262,1719,93.8,4611,2019-01-01
Apollo Resort & Spa,1506,1183,51.5,4987,2019-01-01
Nimble Inn,1493,1120,80.4,3563,2019-01-01
Ezmeral Grand Hotel,2695,1427,68.5,4173,2019-01-01
Alletra Boutique Hotel,1488,1630,86.2,4776,2019-01-01
Simplivity Golden Plaza Hotel,1288,1758,90.8,4011,2019-01-01
Cray Villas,2182,1072,65.7,4618,2019-01-01
Apollo Diamond Suites,2683,1874,50.4,4091,2019-01-01
Apollo Towers,1146,1927,75.7,4423,2019-01-01
Alletra Diamond Grand Hotel,3064,1416,72.2,4440,2019-01-02
ProLiant Towers,2609,1397,87.7,4403,2019-01-02
Aruba Luxury Lodge,1329,1743,67.3,3518,2019-01-02
InfoSight Boutique Hotel,3172,1885,75.2,4090,2019-01-02
Primera Grand,3800,1433,61.5,4718,2019-01-02
dHCI Executive Boutique Hotel,2705,1791,58.3,3579,2019-01-02
ProLiant Haven,3877,1180,79.1,3249,2019-01-02
Apollo Executive Beach Resort,2793,1924,72.2,4192,2019-01-02
Aruba Lodge,3159,1881,55.4,3237,2019-01-02
