hotel_nombre,consumo_energia_kwh,residuos_generados_kg,porcentaje_reciclaje,uso_agua_m3,fecha,tasa_ocupacion,reservas_confirmadas,cancelaciones,precio_promedio_noche
Alletra Diamond Grand Hotel,3077,1821,73.5,4977,2019-01-01,44,122,10,150.11
ProLiant Towers,2253,1319,71.5,3145,2019-01-01,54,233,28,129.84
Aruba Luxury Lodge,3824,1672,89.7,4179,2019-01-01,44,98,9,117.91
InfoSight Boutique Hotel,1701,1070,82.7,4911,2019-01-01,40,187,11,102.07
Primera Grand,2970,1547,94.6,3907,2019-01-01,42,171,26,97.4
dHCI Executive Boutique Hotel,2919,1363,90.7,3051,2019-01-01,43,128,15,98.35
ProLiant Haven,2357,1812,81.9,3182,2019-01-01,56,182,33,171.42
Apollo Executive Beach Resort,2832,1936,56.7,3813,2019-01-01,52,107,19,161.87
Aruba Lodge,3826,1630,80.9,3080,2019-01-01,45,90,9,162.81
Alletra Haven,2717,1789,90.8,3554,2019-01-01,57,266,46,168.36
dHCI Platinum Beach Resort,3504,1145,61.2,3338,2019-01-01,53,192,26,126.38
GreenLake Platinum Heritage Inn,3968,1761,73.1,3919,2019-01-01,37,104,12,115.78
Pointnext Signature Residences & Suites,1950,1404,64.2,4600,2019-01-01,51,205,22,117.83
ProLiant Place,2401,1532,72.6,3727,2019-01-01,44,209,41,141.0
Synergy Golden Grand Hotel,2089,1168,70.9,4111,2019-01-01,59,187,25,112.2
Alletra Resort,3272,1680,61.4,3202,2019-01-01,50,164,29,118.17
GreenLake Digital Business Suites,2262,1719,93.8,4611,2019-01-01,38,119,9,112.84
Apollo Resort & Spa,1506,1183,51.5,4987,2019-01-01,54,250,22,206.73
Nimble Inn,1493,1120,80.4,3563,2019-01-01,43,118,7,94.67
Ezmeral Grand Hotel,2695,1427,68.5,4173,2019-01-01,47,101,19,118.08
Alletra Boutique Hotel,1488,1630,86.2,4776,2019-01-01,32,138,20,130.27
Simplivity Golden Plaza Hotel,1288,1758,90.8,4011,2019-01-01,60,164,28,184.56
Cray Villas,2182,1072,65.7,4618,2019-01-01,37,88,13,128.73
Apollo Diamond Suites,2683,1874,50.4,4091,2019-01-01,36,122,10,112.56
Apollo Towers,1146,1927,75.7,4423,2019-01-01,49,187,30,110.22
Alletra Diamond Grand Hotel,3064,1416,72.2,4440,2019-01-02,56,139,13,170.81
ProLiant Towers,2609,1397,87.7,4403,2019-01-02,59,173,26,222.06
Aruba Luxury Lodge,1329,1743,67.3,3518,2019-01-02,42,202,16,141.74
InfoSight Boutique Hotel,3172,1885,75.2,4090,2019-01-02,56,217,14,192.52
Primera Grand,3800,1433,61.5,4718,2019-01-02,57,231,39,197.77
dHCI Executive Boutique Hotel,2705,1791,58.3,3579,2019-01-02,48,208,21,139.12
ProLiant Haven,3877,1180,79.1,3249,2019-01-02,41,90,13,92.04
Apollo Executive Beach Resort,2793,1924,72.2,4192,2019-01-02,43,192,12,175.63
Aruba Lodge,3159,1881,55.4,3237,2019-01-02,50,233,27,115.3
Alletra Haven,2134,1304,85.6,4882,2019-01-02,35,147,28,103.91
dHCI Platinum Beach Resort,1603,1614,71.0,4962,2019-01-02,55,261,43,156.14
GreenLake Platinum Heritage Inn,2610,1844,84.1,3174,2019-01-02,56,234,21,201.39
Pointnext Signature Residences & Suites,3194,1679,60.1,4796,2019-01-02,56,269,24,156.49
ProLiant Place,1628,1353,82.8,4092,2019-01-02,54,183,25,144.93
Synergy Golden Grand Hotel,3713,1747,63.9,3585,2019-01-02,30,104,10,109.25
Alletra Resort,1182,1604,83.1,4704,2019-01-02,41,180,18,163.19
GreenLake Digital Business Suites,2501,1344,55.4,3399,2019-01-02,52,241,32,155.73
Apollo Resort & Spa,3561,1070,66.2,3725,2019-01-02,36,81,12,121.18
Nimble Inn,1625,1575,92.4,4370,2019-01-02,54,146,17,180.88
Ezmeral Grand Hotel,1719,1111,57.6,3534,2019-01-02,44,192,12,113.5
Alletra Boutique Hotel,1362,1976,52.5,3076,2019-01-02,52,141,21,140.38
Simplivity Golden Plaza Hotel,1159,1374,61.2,3486,2019-01-02,47,168,19,167.12
Cray Villas,1447,1973,51.9,4815,2019-01-02,40,122,14,114.53
Apollo Diamond Suites,2131,1919,54.1,3060,2019-01-02,37,87,6,95.85
Apollo Towers,3668,1588,94.0,4012,2019-01-02,47,228,35,115.0
Alletra Diamond Grand Hotel,2022,1705,94.6,3450,2019-01-03,53,182,28,206.52
ProLiant Towers,1810,1654,51.4,4691,2019-01-03,46,174,34,172.6
Aruba Luxury Lodge,1758,1040,64.2,3458,2019-01-03,39,104,7,90.1
InfoSight Boutique Hotel,3194,1483,64.2,4647,2019-01-03,47,111,6,102.13
Primera Grand,3480,1338,94.6,4321,2019-01-03,39,159,10,156.74
dHCI Executive Boutique Hotel,1309,1759,56.8,3119,2019-01-03,45,103,5,120.59
ProLiant Haven,2661,1906,84.0,3838,2019-01-03,45,149,11,99.62
Apollo Executive Beach Resort,1823,1110,74.8,4448,2019-01-03,60,275,18,117.84
Aruba Lodge,1959,1170,57.6,3112,2019-01-03,45,100,14,99.82
Alletra Haven,2119,1652,82.7,3544,2019-01-03,34,150,28,89.79
dHCI Platinum Beach Resort,3115,1395,62.7,4470,2019-01-03,37,87,14,131.87
GreenLake Platinum Heritage Inn,3342,1446,90.8,3070,2019-01-03,55,212,35,146.84
Pointnext Signature Residences & Suites,2296,1757,55.5,4802,2019-01-03,59,196,35,225.82
ProLiant Place,1614,1942,69.8,4360,2019-01-03,39,144,8,163.89
Synergy Golden Grand Hotel,3616,1964,68.8,4768,2019-01-03,33,159,12,96.93
Alletra Resort,2213,1220,68.7,4048,2019-01-03,51,114,9,157.3
GreenLake Digital Business Suites,2775,1739,50.3,4736,2019-01-03,35,70,8,126.57
Apollo Resort & Spa,1165,1333,68.2,4572,2019-01-03,39,81,7,111.05
Nimble Inn,1421,1970,76.1,4089,2019-01-03,57,191,29,212.33
Ezmeral Grand Hotel,2464,1074,77.5,3630,2019-01-03,55,240,33,193.43
Alletra Boutique Hotel,1613,1281,58.2,3397,2019-01-03,36,117,15,132.63
Simplivity Golden Plaza Hotel,1577,1092,88.7,3371,2019-01-03,59,165,11,116.04
Cray Villas,2448,1879,90.7,3150,2019-01-03,55,160,25,167.61
Apollo Diamond Suites,3903,1881,55.9,3035,2019-01-03,39,129,15,112.72
Apollo Towers,1624,1901,90.8,3832,2019-01-03,42,202,25,133.48
Alletra Diamond Grand Hotel,3108,1430,94.8,4005,2019-01-04,32,121,22,129.01
ProLiant Towers,2503,1749,87.2,3395,2019-01-04,49,134,8,193.27
Aruba Luxury Lodge,3496,1263,72.6,3280,2019-01-04,56,256,35,108.32
