hotel_nombre,fecha,tasa_ocupacion,reservas_confirmadas,cancelaciones,precio_promedio_noche
Alletra Diamond Grand Hotel,2019-01-01,44,122,10,150.11
ProLiant Towers,2019-01-01,54,233,28,129.84
Aruba Luxury Lodge,2019-01-01,44,98,9,117.91
InfoSight Boutique Hotel,2019-01-01,40,187,11,102.07
Primera Grand,2019-01-01,42,171,26,97.4
dHCI Executive Boutique Hotel,2019-01-01,43,128,15,98.35
ProLiant Haven,2019-01-01,56,182,33,171.42
Apollo Executive Beach Resort,2019-01-01,52,107,19,161.87
Aruba Lodge,2019-01-01,45,90,9,162.81
Alletra Haven,2019-01-01,57,266,46,168.36
dHCI Platinum Beach Resort,2019-01-01,53,192,26,126.38
GreenLake Platinum Heritage Inn,2019-01-01,37,104,12,115.78
Pointnext Signature Residences & Suites,2019-01-01,51,205,22,117.83
ProLiant Place,2019-01-01,44,209,41,141.0
Synergy Golden Grand Hotel,2019-01-01,59,187,25,112.2
Alletra Resort,2019-01-01,50,164,29,118.17
GreenLake Digital Business Suites,2019-01-01,38,119,9,112.84
Apollo Resort & Spa,2019-01-01,54,250,22,206.73
Nimble Inn,2019-01-01,43,118,7,94.67
Ezmeral Grand Hotel,2019-01-01,47,101,19,118.08
Alletra Boutique Hotel,2019-01-01,32,138,20,130.27
Simplivity Golden Plaza Hotel,2019-01-01,60,164,28,184.56
Cray Villas,2019-01-01,37,88,13,128.73
Apollo Diamond Suites,2019-01-01,36,122,10,112.56
Apollo Towers,2019-01-01,49,187,30,110.22
Alletra Diamond Grand Hotel,2019-01-02,56,139,13,170.81
ProLiant Towers,2019-01-02,59,173,26,222.06
Aruba Luxury Lodge,2019-01-02,42,202,16,141.74
InfoSight Boutique Hotel,2019-01-02,56,217,14,192.52
Primera Grand,2019-01-02,57,231,39,197.77
dHCI Executive Boutique Hotel,2019-01-02,48,208,21,139.12
ProLiant Haven,2019-01-02,41,90,13,92.04
Apollo Executive Beach Resort,2019-01-02,43,192,12,175.63
Aruba Lodge,2019-01-02,50,233,27,115.3
Alletra Haven,2019-01-02,35,147,28,103.91
dHCI Platinum Beach Resort,2019-01-02,55,261,43,156.14
GreenLake Platinum Heritage Inn,2019-01-02,56,234,21,201.39
Pointnext Signature Residences & Suites,2019-01-02,56,269,24,156.49
ProLiant Place,2019-01-02,54,183,25,144.93
Synergy Golden Grand Hotel,2019-01-02,30,104,10,109.25
Alletra Resort,2019-01-02,41,180,18,163.19
