fecha,tipo_transporte,num_usuarios,tiempo_viaje_promedio_min,ruta_popular
2019-01-01,Tranvía,1999,12,ProLiant Village - HPE Innovation Hub
2019-01-02,Bicicleta,2701,59,Simplivity Springs - Ezmeral Valley
2019-01-03,Autobús,4199,21,ProLiant Village - Alletra City
2019-01-04,Bicicleta,3317,44,Alletra City - GreenLake Shores
2019-01-05,Metro,3137,14,Aruba Central - HPE Innovation Hub
2019-01-06,Bicicleta,1740,60,Alletra City - Ezmeral Valley
2019-01-07,Bicicleta,2480,35,Simplivity Springs - Ezmeral Valley
2019-01-08,Taxi,2057,44,ProLiant Village - Alletra City
2019-01-09,Autobús,1777,48,ProLiant Village - Aruba Central
2019-01-10,Autobús,2235,14,Nimble Peak - ProLiant Village
2019-01-11,Bicicleta,3958,42,GreenLake Shores - Apollo Heights
2019-01-12,Taxi,280,46,Aruba Central - ProLiant Village
2019-01-13,Tranvía,740,15,GreenLake Shores - Composable Cloud
2019-01-14,Bicicleta,1904,38,Ezmeral Valley - ProLiant Village
2019-01-15,Coche Compartido,3171,28,Nimble Peak - Simplivity Springs
2019-01-16,Tranvía,1597,33,Composable Cloud - Nimble Peak
2019-01-17,Autobús,2719,12,Ezmeral Valley - Nimble Peak
2019-01-18,Taxi,2406,24,ProLiant Village - Alletra City
2019-01-19,Tranvía,413,21,HPE Innovation Hub - Alletra City
2019-01-20,Autobús,2628,60,Apollo Heights - HPE Innovation Hub
2019-01-21,Bicicleta,3373,40,Simplivity Springs - Aruba Central
2019-01-22,Coche Compartido,3754,23,Apollo Heights - Simplivity Springs
2019-01-23,Coche Compartido,2743,49,Apollo Heights - Composable Cloud
2019-01-24,Taxi,2237,46,GreenLake Shores - Nimble Peak
2019-01-25,Coche Compartido,1712,58,Nimble Peak - Apollo Heights
2019-01-26,Taxi,1239,41,Apollo Heights - ProLiant Village
2019-01-27,Autobús,1404,28,Simplivity Springs - Composable Cloud
2019-01-28,Metro,3018,60,Apollo Heights - Simplivity Springs
2019-01-29,Tranvía,1363,22,ProLiant Village - Composable Cloud
2019-01-30,Taxi,3871,58,Simplivity Springs - ProLiant Village
2019-01-31,Autobús,697,16,ProLiant Village - Ezmeral Valley
2019-02-01,Autobús,1948,49,GreenLake Shores - Nimble Peak
2019-02-02,Autobús,2923,22,ProLiant Village - Nimble Peak
2019-02-03,Bicicleta,1407,20,Nimble Peak - Aruba Central
2019-02-04,Tranvía,3664,24,Alletra City - HPE Innovation Hub
2019-02-05,Coche Compartido,2106,52,Nimble Peak - ProLiant Village
2019-02-06,Tranvía,2931,28,Nimble Peak - Simplivity Springs
2019-02-07,Metro,3080,29,ProLiant Village - Ezmeral Valley
2019-02-08,Autobús,4479,28,Aruba Central - ProLiant Village
2019-02-09,Metro,1545,44,Simplivity Springs - ProLiant Village
2019-02-10,Bicicleta,803,11,GreenLake Shores - Ezmeral Valley
2019-02-11,Bicicleta,2955,50,GreenLake Shores - Composable Cloud
2019-02-12,Coche Compartido,3015,40,Apollo Heights - Aruba Central
2019-02-13,Taxi,1082,49,Nimble Peak - Aruba Central
2019-02-14,Bicicleta,2984,17,ProLiant Village - Apollo Heights
